fx,days,link,ca,bmfx,n_days,index_last,index_ret_pct,bm_last,bm_ret_pct,excess_pp,fx_missing,ann_vol_pct,tracking_err_pct,max_drawdown_pct,max_daily_ret_pct,min_daily_ret_pct,repro_max_rel_err,reproduces_published
PREV_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_333_ON_LISTING,LEVEL_ONLY,64,1319.8839877650953,31.98839877650952,1413.6772582050044,41.36772582050043,-9.379327043990916,0,39.349419202087,31.412535918280188,-15.383486526562962,6.523015945526756,-6.894148096811481,0.056744989668020204,False
PREV_DAY,UNION_CARRY,DIVISOR_ADJUST,NONE,CONVERT,64,1281.0277511758622,28.102775117586233,1425.308969238703,42.53089692387029,-14.428121806284055,0,39.50561912835524,31.698286540889143,-15.111308808754998,6.414513872483885,-6.948734310515492,0.016118217877081172,False
PREV_DAY,UNION_CARRY,DIVISOR_ADJUST,NONE,LEVEL_ONLY,64,1281.0277511758622,28.102775117586233,1413.6772582050044,41.36772582050043,-13.264950702914202,0,39.50561912835524,31.9103933310527,-15.111308808754998,6.414513872483885,-6.948734310515492,0.016118217877081172,False
PREV_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_LISTING,CONVERT,64,1347.638442471692,34.7638442471692,1425.308969238703,42.53089692387029,-7.767052676701081,0,39.76905811688975,31.45668136800331,-15.567879337033263,6.596920566101527,-6.857092816334864,0.09021774911913343,False
PREV_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_LISTING,LEVEL_ONLY,64,1347.638442471692,34.7638442471692,1413.6772582050044,41.36772582050043,-6.603881573331227,0,39.76905811688975,31.74025010959071,-15.567879337033263,6.596920566101527,-6.857092816334864,0.09021774911913343,False
PREV_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_EFFECTIVE,CONVERT,64,1347.638442471692,34.7638442471692,1425.308969238703,42.53089692387029,-7.767052676701081,0,66.06800801259867,62.242511180160754,-15.567879337033263,22.127904850916003,-14.461356921400492,0.2068241031150463,False
PREV_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_EFFECTIVE,LEVEL_ONLY,64,1347.638442471692,34.7638442471692,1413.6772582050044,41.36772582050043,-6.603881573331227,0,66.06800801259867,60.85498004038114,-15.567879337033263,22.127904850916003,-14.461356921400492,0.2068241031150463,False
PREV_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_333_ON_LISTING,CONVERT,64,1319.8839877650962,31.98839877650963,1425.308969238703,42.53089692387029,-10.542498147360657,0,39.34941920208694,31.155962840770762,-15.383486526562962,6.523015945526756,-6.89414809681147,0.056744989668021224,False
PREV_DAY,UNION_CARRY,DIVISOR_ADJUST,SPLIT_333_ON_LISTING,LEVEL_ONLY,64,1319.8839877650962,31.98839877650963,1413.6772582050044,41.36772582050043,-9.379327043990804,0,39.34941920208694,31.412535918280106,-15.383486526562962,6.523015945526756,-6.89414809681147,0.056744989668021224,False
BASE_DATE_FIXED,COMMON_OPEN_ONLY,SEGMENT_RELINK,NONE,CONVERT,59,1265.73926902372,26.57392690237199,1413.6772582050044,41.36772582050043,-14.793798918128441,0,42.071197440133076,33.30213758874778,-16.106965678333207,6.124900336899763,-7.3445870209857045,0.025561674709609572,False
BASE_DATE_FIXED,COMMON_OPEN_ONLY,SEGMENT_RELINK,NONE,LEVEL_ONLY,59,1265.73926902372,26.57392690237199,1413.6772582050044,41.36772582050043,-14.793798918128441,0,42.071197440133076,33.30213758874779,-16.106965678333207,6.124900336899763,-7.3445870209857045,0.025561674709609572,False
