security_id,market,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id
018260,KR,2017-03-24,90,90,0,0,0,90,583,SEASONED,15108622705.555555,15108622705.555555,15108622705.555555,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
064350,KR,2017-03-24,90,90,0,0,0,90,839,SEASONED,3152098410.0,3152098410.0,3152098410.0,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
064400,KR,2017-03-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-03-24,2017-03-31,RC-2017-03-31
079550,KR,2017-03-24,90,90,0,0,0,90,365,SEASONED,5745726585.466666,5745726585.466666,5745726585.466666,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
267260,KR,2017-03-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-03-24,2017-03-31,RC-2017-03-31
298040,KR,2017-03-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-03-24,2017-03-31,RC-2017-03-31
307950,KR,2017-03-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-03-24,2017-03-31,RC-2017-03-31
ALAB,US,2017-03-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-03-24,2017-03-31,RC-2017-03-31
ANET,US,2017-03-24,90,90,0,0,0,90,706,SEASONED,87245743.25511113,87245743.25511113,87245743.25511113,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
APH,US,2017-03-24,90,90,0,0,0,90,1065,SEASONED,80808359.57777777,80808359.57777777,80808359.57777777,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
ATI,US,2017-03-24,90,90,0,0,0,90,1065,SEASONED,51865975.6,51865975.6,51865975.6,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
ETN,US,2017-03-24,90,90,0,0,0,90,1065,SEASONED,163504050.74444443,163504050.74444443,163504050.74444443,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
GEV,US,2017-03-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-03-24,2017-03-31,RC-2017-03-31
KTOS,US,2017-03-24,90,90,0,0,0,90,1065,SEASONED,11605351.355555555,11605351.355555555,11605351.355555555,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
SPCX,US,2017-03-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-03-24,2017-03-31,RC-2017-03-31
TER,US,2017-03-24,90,90,0,0,0,90,1065,SEASONED,57882717.01111111,57882717.01111111,57882717.01111111,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
010120,KR,2017-06-23,90,90,0,0,0,90,1103,SEASONED,3357143764.4444447,3357143764.4444447,3357143764.4444447,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
012450,KR,2017-06-23,90,90,0,0,0,90,1103,SEASONED,22166055966.155556,22166055966.155556,22166055966.155556,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
018260,KR,2017-06-23,90,90,0,0,0,90,643,SEASONED,21003911316.666668,21003911316.666668,21003911316.666668,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
064350,KR,2017-06-23,90,90,0,0,0,90,899,SEASONED,4274257093.3333335,4274257093.3333335,4274257093.3333335,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
064400,KR,2017-06-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-06-23,2017-06-30,RC-2017-06-30
079550,KR,2017-06-23,90,90,0,0,0,90,425,SEASONED,7983714642.122222,7983714642.122222,7983714642.122222,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
267260,KR,2017-06-23,90,32,0,0,0,32,32,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-06-23,2017-06-30,RC-2017-06-30
298040,KR,2017-06-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-06-23,2017-06-30,RC-2017-06-30
307950,KR,2017-06-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-06-23,2017-06-30,RC-2017-06-30
ALAB,US,2017-06-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-06-23,2017-06-30,RC-2017-06-30
ANET,US,2017-06-23,90,90,0,0,0,90,769,SEASONED,122169615.86311111,122169615.86311111,122169615.86311111,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
APH,US,2017-06-23,90,90,0,0,0,90,1128,SEASONED,80410590.7,80410590.7,80410590.7,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
ATI,US,2017-06-23,90,90,0,0,0,90,1128,SEASONED,39928090.63333333,39928090.63333333,39928090.63333333,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
ETN,US,2017-06-23,90,90,0,0,0,90,1128,SEASONED,168232935.44444445,168232935.44444445,168232935.44444445,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
GEV,US,2017-06-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-06-23,2017-06-30,RC-2017-06-30
KTOS,US,2017-06-23,90,90,0,0,0,90,1128,SEASONED,14399538.188888889,14399538.188888889,14399538.188888889,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
SPCX,US,2017-06-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2017-06-23,2017-06-30,RC-2017-06-30
TER,US,2017-06-23,90,90,0,0,0,90,1128,SEASONED,74383116.23333333,74383116.23333333,74383116.23333333,ZERO,v0.9-pilot,CALCULATED,2017-06-23,2017-06-30,RC-2017-06-30
010120,KR,2017-09-25,90,90,0,0,0,90,1168,SEASONED,3398010760.0,3398010760.0,3398010760.0,ZERO,v0.9-pilot,CALCULATED,2017-09-25,2017-09-30,RC-2017-09-30
012450,KR,2017-09-25,90,90,0,0,0,90,1168,SEASONED,16845443443.833334,16845443443.833334,16845443443.833334,ZERO,v0.9-pilot,CALCULATED,2017-09-25,2017-09-30,RC-2017-09-30
